,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,0.0,1.0,0.639,0.639,0.764,0.764,0.764,0.764,0.708,0.708,0.722,0.722,0.708,0.708,0.819,0.819,0.764,0.764,0.806,0.806,0.722,0.722,0.681,0.681,0.764,0.764,0.875,0.875,0.875,0.875,0.625,0.875,1.0,0.611,0.958,0.889,0.792,1.0,0.833,0.917,0.875,0.75,0.639,0.764,0.833,0.583,0.542,0.778,0.778,0.403,0.653,0.653,0.486,0.611,0.611
1,1.0,0.0,0.639,0.639,0.764,0.764,0.764,0.764,0.708,0.708,0.722,0.722,0.708,0.708,0.819,0.819,0.764,0.764,0.806,0.806,0.722,0.722,0.681,0.681,0.764,0.764,0.875,0.875,0.875,0.875,0.625,0.875,1.0,0.611,0.958,0.889,0.792,1.0,0.833,0.917,0.875,0.75,0.639,0.764,0.833,0.583,0.542,0.778,0.778,0.403,0.653,0.653,0.486,0.611,0.611
2,0.639,0.639,0.0,1.0,0.708,0.708,0.764,0.764,0.625,0.625,0.694,0.694,0.736,0.736,0.708,0.708,0.764,0.764,0.75,0.75,0.806,0.806,0.764,0.764,0.792,0.792,0.764,0.764,0.764,0.764,0.819,0.764,0.639,0.5,0.681,0.528,0.514,0.639,0.472,0.639,0.764,0.472,0.889,0.792,0.639,0.528,0.542,0.417,0.417,0.375,0.542,0.542,0.375,0.25,0.25
3,0.639,0.639,1.0,0.0,0.708,0.708,0.764,0.764,0.625,0.625,0.694,0.694,0.736,0.736,0.708,0.708,0.764,0.764,0.75,0.75,0.806,0.806,0.764,0.764,0.792,0.792,0.764,0.764,0.764,0.764,0.819,0.764,0.639,0.5,0.681,0.528,0.514,0.639,0.472,0.639,0.764,0.472,0.889,0.792,0.639,0.528,0.542,0.417,0.417,0.375,0.542,0.542,0.375,0.25,0.25
4,0.764,0.764,0.708,0.708,0.0,1.0,0.722,0.722,0.75,0.75,0.569,0.569,0.861,0.861,0.667,0.667,0.722,0.722,0.958,0.958,0.681,0.681,0.722,0.722,0.917,0.917,0.639,0.639,0.639,0.639,0.778,0.639,0.764,0.458,0.722,0.653,0.556,0.764,0.597,0.847,0.639,0.681,0.597,0.917,0.847,0.736,0.5,0.542,0.542,0.333,0.417,0.417,0.25,0.375,0.375
5,0.764,0.764,0.708,0.708,1.0,0.0,0.722,0.722,0.75,0.75,0.569,0.569,0.861,0.861,0.667,0.667,0.722,0.722,0.958,0.958,0.681,0.681,0.722,0.722,0.917,0.917,0.639,0.639,0.639,0.639,0.778,0.639,0.764,0.458,0.722,0.653,0.556,0.764,0.597,0.847,0.639,0.681,0.597,0.917,0.847,0.736,0.5,0.542,0.542,0.333,0.417,0.417,0.25,0.375,0.375
6,0.764,0.764,0.764,0.764,0.722,0.722,0.0,1.0,0.778,0.778,0.736,0.736,0.667,0.667,0.833,0.833,1.0,1.0,0.764,0.764,0.958,0.958,0.917,0.917,0.722,0.722,0.639,0.639,0.639,0.639,0.583,0.639,0.764,0.375,0.722,0.653,0.556,0.764,0.597,0.764,0.639,0.597,0.875,0.722,0.681,0.542,0.778,0.542,0.542,0.25,0.417,0.417,0.25,0.375,0.375
7,0.764,0.764,0.764,0.764,0.722,0.722,1.0,0.0,0.778,0.778,0.736,0.736,0.667,0.667,0.833,0.833,1.0,1.0,0.764,0.764,0.958,0.958,0.917,0.917,0.722,0.722,0.639,0.639,0.639,0.639,0.583,0.639,0.764,0.375,0.722,0.653,0.556,0.764,0.597,0.764,0.639,0.597,0.875,0.722,0.681,0.542,0.778,0.542,0.542,0.25,0.417,0.417,0.25,0.375,0.375
8,0.708,0.708,0.625,0.625,0.75,0.75,0.778,0.778,0.0,1.0,0.708,0.708,0.889,0.889,0.722,0.722,0.778,0.778,0.792,0.792,0.819,0.819,0.778,0.778,0.833,0.833,0.667,0.667,0.667,0.667,0.806,0.667,0.708,0.403,0.75,0.597,0.583,0.708,0.542,0.792,0.667,0.625,0.736,0.833,0.792,0.569,0.556,0.486,0.486,0.361,0.444,0.444,0.278,0.431,0.431
9,0.708,0.708,0.625,0.625,0.75,0.75,0.778,0.778,1.0,0.0,0.708,0.708,0.889,0.889,0.722,0.722,0.778,0.778,0.792,0.792,0.819,0.819,0.778,0.778,0.833,0.833,0.667,0.667,0.667,0.667,0.806,0.667,0.708,0.403,0.75,0.597,0.583,0.708,0.542,0.792,0.667,0.625,0.736,0.833,0.792,0.569,0.556,0.486,0.486,0.361,0.444,0.444,0.278,0.431,0.431
